Program of Study,9th Grade Courses,10th Grade Courses,11th Grade Courses,12th Grade Courses,Electives,Grad Requirements,Hawaii CC Programs,Honolulu CC Programs,Kapiolani CC Programs,Kauai CC Programs,Leeward CC Programs,UH Maui College Programs,Windward CC Programs,UH Manoa Programs,UH West Oahu Programs,UH Hilo Programs
Electrical Installation,"English/ Language Arts I,World History and Culture,Algebra 1 CTE Related Academic Requirement*,Science Elective,Industrial and Engineering Technology Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Enlectricity and Electronic Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective,Math Elective,Science Elective,Industrial and Engineering Technology Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two years or more of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Electrical Installation and Maintenance Technology (Associate in Applied Science),Electrical Installation and Maintenance Technology (Certificate of Achievement)","Electrical Installation and Maintenance Technology (Associate in Applied Science),Electrical Installation and Maintenance Technology (Certificate of Achievement)",,"Electrical Installation and Maintenance Technology (Associate in Applied Science),Electrical Installation and Maintenance Technology (Certificate - Electrical Installation),Electrical Installation and Maintenance Technology (Certificate - Solar Installation)",,,,"Electrical Engineering (Bachelor of Science),Electrical Engineering (Master of Science),Electrical Engineering (Doctorate)",,
Baking and Pastry Arts,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Public Human Service Core*","English/ Language Arts II,US History and Government,Geometry,Biology – CTE Related Academic Requirement*,Culinary I Cluster*","Expository Writing and English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Baking and Pastry Arts Concentration*","English Elective,Social Studies Elective,and,Math Elective (Recommend a 4th year of math),Science Elective (Recommend a 4th year of science 1.0 – Emphasis on the human body and nutrition),Culinary,Hospitality and Tourism Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Culinary Arts (Associate in Applied Science),Culinary Arts (Certificate of Achievement),Culinary Arts (Certificate of Competence)",,"Culinary Arts (Associate in Science Culinary Arts - Culinary Arts),Culinary Arts (Associate in Science Culinary Arts - Pastry Arts),Culinary Arts (Associate in Science Culinary Arts - Institutional Food Service Management),Culinary Arts (Certificate of Achievement - Culinary Arts),Culinary Arts (Certificate of Competence - Culinary Arts),Culinary Arts (Advanced Professional Certificate - Culinary Arts),Culinary Arts (Certificate of Competence - Culinary Competition),Culinary Arts (Certificate of Competence - Dining Room Services),Culinary Arts (Certificate of Competence - Pastry Arts),Culinary Apprenticeship Program","Culinary Arts (Associate of Applied Science),Culinary Arts (Certificate of Achievement),Culinary Arts (Certificate of Completion),Culinary Arts (Certificate of Competence),Culinary Arts (Certificate of Advanced Culinary Arts)","Culinary Arts (Associate in Science Culinary Arts),Culinary Arts (Certificate of Achievement - Culinary Arts),Culinary Arts (Certificate of Competence – Baking),Culinary Arts (Certificate of Competence - Dining Room Supervision),Culinary Arts (Certificate of Competence - Prep Cook)","Culinary Arts (Associate in Applied Science),Culinary Arts (Certificate of Achievement),Culinary Arts (Certificate of Competence),Culinary Arts (Certificate of Completion)",,,Culinary Management (Bachelor of Applied Sciences),
Game Design,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Arts and Communication Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Digital Media Technology Cluster*","Expository Writing – CTE Related Academic Requirement* and English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Gaming Concentration*","English Elective,Social Studies Elective,and,Math Elective (Recommend a 4th year of math),Science Elective (Recommend a 4th year of science 1.0 – Emphasis on research),Arts and Communication Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Creative Media (Associate in Science),Creative Media (Certificate of Competence)",Communication Arts (Associate in Science),"New Media Arts (Associate in Science - Animation Concentration),New Media Arts (Associate in Science - Interface Design Concentration)","Creative Media (Associate in Science),Creative Media (Certificates)","Digital Media (Associate in Science),Digital Media (Academic Subject Certificate - Creative Media),Digital Media (Academic Subject Certificate - Digital Art; Photo),Digital Media (Certificate of Achievement - Digital Media Production),Digital Media (Certificate of Competence - Digital Media Production; Digital Photography; Digital Video; Graphic Design; Motion Graphics; Web Architecture; Web Design)",Visual Arts (Academic Subject Certificate in Visual Arts),,"Creative Media (Bachelor of Arts – Digital Media,Computer Animation,or Critical Studies)","Creative Media (Bachelor of Arts in Humanities),Creative Media (Bachelor of Arts in Applied Sciences)",
Conservation,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Natural Resources Core*","English/ Language Arts II,US History and Government,Geometry,Biology CTE Academic Requirement*,Environmental Resource Management Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Conservation Concentration*","English Elective,Social Studies Elective,Math Elective,Science Elective,Natural Resources Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two years or more of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Tropical Forest Ecosystem and Agroforestry Management (Associate in Science),Tropical Forest Ecosystem and Agroforestry Management (Certificate of Achievement)",,Biotechnician (Certificate of Achievement),Hawaiian Botany (Certificate of Competence),,"Agriculture and Natural Resources (Associate in Applied Science),Agriculture and Natural Resources (Certificate of Achievement),Agriculture and Natural Resources (Certificate of Competence)","Agripharmatech (Certificate in Achievement),Agriculture Technology (Certificate of Competence– Agriculture Technology; Plant Landscaping)","Environmental Studies (Bachelor of Arts),Environmental Studies (Certificate),Global Environmental Science (Bachelor of Science),Natural Resources and Environmental Management (Bachelor of Science),Natural Resources and Environmental Management (Master of Science),Natural Resources and Environmental Management (Doctorate),Natural Resources and Environmental Management (Certificate),Plant and Environment Protection Science (Bachelor of Science)",Sustainable Community Food Systems (Bachelor of Applied Science),"Biology (Bachelor of Science - Ecology Evolution and Conservation),Environmental Studies (Bachelor of Science),Tropical Conservation Biology & Environmental Science (Master)"
Explorations in Education,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Public Human Service Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Explorations in Education Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Psychology – CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Science Elective,Education Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Early Childhood Education (Associate in Science),Early Childhood Education (Certificate of Achievement),Early Childhood Education (Certificate of Competence)",,Liberal Arts (Associate in Arts - Concentration in Elementary Education),"Early Childhood Education (Associate in Science),Early Childhood Education (Certificate of Achievement),Early Childhood Education (Certificate of Competence)",Teaching (Associate in Arts),"Early Childhood Education (Associate in Science),Early Childhood Education (Certificate of Achievement),Early Childhood Education (Certificate of Competence)",,"Elementary Education (Bachelor of Education),Early Childhood & SPED (Bachelor of Education),Elementary and Early Childhood (Bachelor of Education),Early Childhood Education (Master of Education),Curriculum Studies PK-3 School Level (Master of Education)",Elementary Education (Bachelor of Education),"Education Studies (Certificate),Teaching (Master of Arts)"
Animal Systems,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Natural Resources Core*","English/ Language Arts II,US History and Government,Geometry,Biology – CTE Related Academic Requirement*,Animal Systems I Cluster*","Expository Writing and English Elective,Participation in Democracy,Modern History of Hawai‘i,Math Elective,Science Elective,Animal Systems II Cluster*","English Elective,Social Studies Elective,and Social Studies Elective,Math Elective (Recommend a 4th year of math),Science Elective,(Recommend a 4th year of science: Physics),Natural Resources Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Natural Science (Associate of Science–Biological Sciences),Natural Science (Associate of Science– Physical Science)",,,"Natural Science (Associate of Science–Biological Sciences),Natural Science (Associate of Science– Physical Science)",,,"Natural Science (Associate of Science–Biological Sciences),Natural Science (Associate of Science– Physical Science),Veterinary Technology (Associate in Science),Veterinary Technology (Certificate of Achievement)","Animal Science (Bachelor of Science),Animal Science (Master of Science),Zoology (Master of Science),Zoology (Doctorate)",,"Animal Science (Bachelor of Science - Livestock Production Specialty),Animal Science (Pre-Veterinary Specialty)"
A+ Certification,"English/ Language Arts I,World History and Culture,Algebra 1 – CTE Related Academic Requirement*,Science Elective,A+ Certification Introduction/A+ Certification Computer System (Core)*","English/ Language Arts II,US History and Government,Geometry,Biology,A+ Certification Operating Systems/Internship Cluster*","Expository Writing and English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective,and,Math Elective,(Recommend a 4th year of math so that you can place into Math 103),Science Elective,(Recommend a 4th year of science: Emphasis on research),Information Technology Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Information Technology (Associate of Science),Information Technology (Certificate of Achievement),Information Technology (Certificate of Completion– Computer Support; Cyber Security)","Computer Electronics and Networking Technologies (Associate in Science),Computer Electronics and Networking Technologies (Advanced Professional Certificate),Computer Electronics and Networking Technologies (Certificate of Achievement)","Information Technology (Associate in Science),Information Technology (Advanced Professional Certificate),Information Technology (Certificate of Achievement),Information Technology (Certificate of Competence– Database Management; Help Desk Services; Programming)","Electronics Technology (Associate of Science),Electronics Technology (Certificate of Achievement),Electronics Technology (Certificate of Competence– Cisco I; Cisco II; Computer Support Specialist; Cisco Network Administrator)",Information and Computer Science (Certificate of Competence),Applied Business and Information Technology (Bachelor of Applied Science),Web Support (Certificate of Competence),"Computer Science (Bachelor of Science),Computer Science (Master of Science),Computer Science (Doctorate),Computer Engineering (Bachelor of Science),Communication and Information Science (Doctorate),Information and Computer Science (Bachelor of Arts; Minor),Library and Information Science (Master of Library & Info Science)",Computing Electronics and Networking Technology (Bachelor of Applied Science),"Computer Science (Bachelor of Science; Minor), Computer Science (Certificate - Computer Application Development; Database Management)"
Accounting,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Business Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Accounting I Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Accounting II Concentration*","English Elective,Social Studies Elective – Economics is the CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Science Elective,Business Marketing and Finance Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)","Accounting (Associate in Applied Science),Accounting (Certificate of Achievement)",,"Accounting (Associate in Science),Accounting (Certificate of Achievement),Accounting (Certificate of Competence– Payroll Preparer),Accounting (Certificate of Competence– Tax preparer)","Accounting (Associate in Applied Science),Accounting (Certificate of Achievement),Accounting (Certificate of Competence)","Accounting (Associate in Science),Accounting (Certificate of Achievement),Accounting (Certificate of Competence– Small Business Accounting)","Accounting (Associate in Applied Science),Accounting (Certificate of Achievement)",,"Accounting (Bachelor of Business Administration),Accounting (Master of Accounting),Business Administration (Minor),Business Administration (Master of Business Administration),Business Administration (Doctorate)",Business Administration (Bachelor of Arts - Accounting),"Accounting (Bachelor of Business Administration),Accounting (Certificate)"
Retail Marketing,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective,Business Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Marketing Cluster*","Expository writing,English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective,Retail Marketing and Merchandising Concentration*","English Elective,Social Studies Elective – Economics is the CTE Related Academic Requirement*,Social Studies Elective,Math Elective,Science Elective,Business Marketing and Finance Capstone Internship Co-op*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend more than two years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Marketing (Associate in Applied Science),Marketing (Certificate of Achievement),Marketing (Certificate of Competence),Marketing (Certificate of Competence - Business Essentials),Marketing (Certificate of Competence - Business Foundations),Marketing (Certificate of Competence - Entrepreneurship),Marketing (Certificate of Competence - Retail Foundations)",,"Marketing (Associate in Science),Marketing (Certificate of Achievement– Retail Management),Marketing (Certificate of Competence– Customer Service),Marketing (Certificate of Competence– Entrepreneurship),Marketing (Certificate of Competence– Management),Marketing (Certificate of Competence - Retailing)","Business Technology (Associate in Applied Science),Business Technology (Certificate of Achievement),Business Technology (Certificate of Competence)",,Applied Business and Information Technology (Bachelor of Applied Science),,"Business Administration (Minor),Business Administration (Master of Business Administration),Business Administration (Doctorate),Finance (Bachelor of Business Administration),Marketing (Bachelor of Business Administration)",Business Administration (Bachelor of Arts - Marketing; General Business Administration; Finance),"Business Administration (Bachelor of Business Administration),Business Administration (Minor),Business Administration (Certificate)"
Metal Working Technology,"English/ Language Arts I,World History and Culture,Algebra 1,Science Elective: Physics or Physical Science *,Industrial and Engineering Technology Core*","English/ Language Arts II,US History and Government,Geometry,Biology,Metals Technology I (Cluster)*","Expository Writing and English Elective,Participation in Democracy,Modern History of Hawai‘I,Math Elective,Science Elective","English Elective,Social Studies Elective,and,Math Elective (Recommend a 4th year of math),Industrial and Engineering Technology Capstone Internship (Co-op)*","PE Lifetime Fitness,PE Elective,Health Today and Tomorrow,Personal Transition Plan,World Language (Recommend two or more years of the same language),Fine Arts","English (4 credits),Social Studies (4 credits),Math (3 credits),Science (3 credits),Health/PE (1.5 credits),Personal Transition Plan (0.5 credits),CTE/JROTC/World Language/Fine Art (2 credits)
","Machine Welding and Industrial Mechanics Technologies (Associate in Applied Science),Machine Welding and Industrial Mechanics Technologies (Certificate of Achievement),Machine Welding and Industrial Mechanics Technologies (Certificate of Competence)","Welding Technology (Associate in Applied Science),Welding Technology (Certificate of Achievement)",,,,,,,,
