CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
UH Maui College,Agriculture,Associate in Applied Science,Hort/Landscape Maintenance,Agriculture (Associate in Applied Science - Hort/Landscape Maintenance),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Plant Biology and Tropical Ag,Associate in Science,,Plant Biology and Tropical Ag (Associate in Science),011101,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Plant Biology and Tropical Ag,Certificate of Competence,,Plant Biology and Tropical Ag (Certificate of Competence),011101,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Agribusiness,Agriculture (Bachelor of Science - Agribusiness),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,General,Agriculture (Bachelor of Science - General),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Tropical Horticulture,Agriculture (Bachelor of Science - Tropical Horticulture),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Sustainable Agriculture,Academic Subject Certificate,,Sustainable Agriculture (Academic Subject Certificate),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Natural Res & Environmentl Mgt,Agriculture (Certificate of Competence - Natural Res & Environmentl Mgt),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Sustainable Tropical Crop Prod,Agriculture (Certificate of Competence - Sustainable Tropical Crop Prod),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Landscape Maintenance,Agriculture (Certificate of Competence - Landscape Maintenance),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Subject Certificate,Tropical Farming,Agriculture (Subject Certificate - Tropical Farming),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Plant Biology and Tropical Ag,Certificate of Achievement,,Plant Biology and Tropical Ag (Certificate of Achievement),011101,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Trop Conserv Bio & Environ Sci,Master of Science,,Trop Conserv Bio & Environ Sci (Master of Science),030104,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at West Oahu,Environmental Studies,Subject Certificate,,Environmental Studies (Subject Certificate),030103,NATURAL RESOURCES AND CONSERVATION
UH Maui College,Cultural & Natrl Resource Mgt,Associate in Technical Studies,,Cultural & Natrl Resource Mgt (Associate in Technical Studies),030201,NATURAL RESOURCES AND CONSERVATION
Hawaii Community College,Trop Forest Ecosys & Agrof Mgt,Certificate of Achievement,,Trop Forest Ecosys & Agrof Mgt (Certificate of Achievement),030599,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Urban and Regional Planning,Master of Urban & Reg Plan,,Urban and Regional Planning (Master of Urban & Reg Plan),040301,ARCHITECTURE AND RELATED SERVICES
University of Hawaii at Manoa,Urban and Regional Planning,Doctor of Philosophy,,Urban and Regional Planning (Doctor of Philosophy),040301,ARCHITECTURE AND RELATED SERVICES
University of Hawaii at Manoa,American Studies,Doctor of Philosophy,,American Studies (Doctor of Philosophy),050102,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
UH Maui College,Hawaiian Studies,Academic Subject Certificate,,Hawaiian Studies (Academic Subject Certificate),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Master of Arts,,Hawaiian Studies (Master of Arts),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Hawaiian Studies,Bachelor of Science,Monitoring the Culture,Hawaiian Studies (Bachelor of Science - Monitoring the Culture),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Hawaiian Studies,Subject Certificate,Multidisciplinary Hawn Studies,Hawaiian Studies (Subject Certificate - Multidisciplinary Hawn Studies),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
